,LoanID,CustomerID,LoanDate,LoanAmount,LoanStatus
57,45855,1085,2018-12-15,20796.69,Pending
58,42998,1086,2020-05-25,1913.77,Rejected
59,52892,1091,2020-06-19,15978.98,Rejected
60,21994,1092,2021-01-02,33749.66,Rejected
61,44357,1093,2018-12-06,41083.77,Rejected
62,22554,1095,2021-09-30,16415.97,Approved
63,57791,1097,2021-05-26,33800.78,Approved
64,90687,1101,2019-12-18,28009.97,Rejected
65,38712,1104,2019-03-30,22359.96,Approved
66,60008,1106,2022-07-02,38246.91,Pending
67,43946,1108,2020-08-04,25419.54,Pending
68,66498,1111,2022-09-04,24902.66,Pending
69,43703,1113,2019-04-07,24151.22,Pending
70,68028,1114,2019-08-12,27839.54,Pending
71,47232,1115,2019-01-21,19271.13,Rejected
72,50738,1116,2021-06-29,18869.05,Pending
73,98915,1117,2019-08-01,21963.89,Approved
74,48949,1118,2021-03-12,35392.19,Rejected
75,31554,1120,2020-07-13,16335.04,Approved
76,98001,1121,2018-10-27,24503.25,Approved
77,78772,1122,2021-08-04,4152.43,Approved
78,44627,1125,2018-09-19,21421.15,Approved
79,86698,1126,2020-01-18,42487.45,Rejected
80,88405,1128,2019-05-15,39851.16,Rejected
81,37878,1129,2022-08-31,47211.67,Rejected
82,81089,1130,2022-03-11,47477.27,Rejected
83,96467,1132,2020-09-26,34251.42,Rejected
84,66310,1137,2021-05-27,31038.47,Rejected
85,70428,1141,2021-10-03,13757.54,Approved
86,21905,1142,2020-11-28,36424.64,Rejected
87,52851,1144,2019-12-20,35139.39,Approved
88,58730,1145,2021-07-22,15374.07,Approved
89,23090,1147,2019-03-04,5866.38,Pending
90,33184,1150,2021-06-28,37112.8,Rejected
91,36559,1152,2019-04-26,34188.69,Approved
92,44264,1154,2022-06-13,39048.11,Rejected
93,76754,1155,2020-02-29,23728.6,Rejected
94,21820,1156,2021-06-01,28381.67,Pending
95,29944,1158,2021-04-22,12386.13,Pending
96,27813,1161,2019-03-08,44488.19,Pending
97,38830,1162,2019-04-29,17668.33,Approved
98,74398,1163,2019-04-19,41315.26,Approved
99,83417,1170,2019-05-18,47617.17,Approved
100,29291,1173,2020-12-10,11863.08,Approved
101,39581,1174,2020-03-14,42036.22,Rejected
102,58278,1175,2022-08-25,23645.79,Pending
103,75520,1176,2019-09-16,2844.36,Rejected
104,95281,1178,2020-10-04,1083.08,Rejected
105,47253,1180,2020-08-24,2339.23,Approved
106,32147,1181,2021-05-04,21745.38,Rejected
107,72934,1182,2021-10-11,47387.07,Rejected
108,25591,1184,2019-07-23,6127.71,Pending
109,49424,1186,2021-01-25,35457.27,Rejected
110,51710,1189,2022-08-08,34814.41,Pending
111,47827,1190,2019-05-15,25517.77,Pending
112,59072,1192,2019-04-25,3733.02,Approved
113,25652,1193,2019-11-01,3522.09,Approved
114,64660,1194,2018-10-05,33051.75,Rejected
115,71494,1195,2020-09-18,35072.0,Approved
116,46309,1197,2019-11-28,22119.51,Pending
117,34905,1198,2020-12-17,6003.49,Pending
118,98931,1200,2020-10-23,15768.19,Approved
119,53464,1205,2020-05-14,4579.6,Pending
120,93956,1206,2019-09-08,28370.42,Pending
121,93961,1208,2019-11-08,29281.5,Pending
122,87046,1209,2020-09-29,26028.38,Approved
123,34077,1210,2020-01-24,21826.75,Pending
124,89704,1211,2019-08-09,42290.32,Pending
125,51609,1212,2022-08-29,29203.89,Approved
126,59979,1213,2019-05-31,34798.52,Rejected
127,41693,1214,2019-06-08,48820.58,Pending
128,67412,1215,2022-02-12,49441.56,Pending
129,86624,1216,2021-02-27,27075.27,Approved
130,57355,1219,2020-09-24,42544.53,Rejected
131,92990,1220,2021-10-10,15550.69,Approved
132,68433,1221,2021-12-12,28595.77,Pending
133,43043,1225,2020-07-14,36364.71,Pending
134,54785,1226,2020-05-06,27265.18,Rejected
135,66391,1228,2022-08-12,46078.71,Approved
136,86215,1230,2020-11-10,45226.07,Pending
137,82397,1233,2019-08-04,48093.65,Rejected
138,30799,1235,2021-05-12,29688.22,Rejected
139,80230,1236,2020-12-11,45985.88,Pending
140,98038,1238,2021-11-16,6035.16,Pending
141,34974,1239,2019-02-23,48428.52,Approved
142,27704,1240,2018-12-18,48399.54,Approved
143,90971,1244,2019-09-23,48907.33,Approved
144,50695,1245,2021-04-23,40613.01,Pending
145,52479,1246,2021-06-01,23473.59,Rejected
146,84574,1247,2022-04-22,27918.44,Pending
147,80915,1249,2022-07-24,18216.43,Rejected
148,93607,1252,2019-06-12,16939.66,Pending
149,48341,1257,2019-03-02,23346.96,Pending
150,45920,1264,2019-09-15,23499.03,Pending
151,99496,1265,2018-10-11,24360.85,Rejected
152,55288,1267,2021-04-04,14003.6,Rejected
153,93541,1268,2022-03-19,49649.69,Approved
154,34302,1269,2021-11-28,47868.92,Approved
155,35365,1272,2019-04-18,45032.43,Pending
156,82075,1276,2018-10-10,15736.91,Pending
157,91758,1278,2018-10-07,28717.02,Rejected
158,92559,1280,2022-06-20,37635.41,Pending
159,83695,1284,2022-06-24,12276.24,Pending
160,39032,1289,2022-01-21,2446.43,Rejected
161,48565,1290,2021-02-07,30382.42,Rejected
162,29879,1291,2019-11-28,15138.48,Pending
163,20784,1292,2020-05-06,20666.76,Pending
164,21873,1293,2018-09-29,21030.29,Rejected
165,75037,1295,2020-05-23,2818.97,Approved
166,92076,1296,2020-03-23,40626.97,Approved
167,45131,1299,2019-06-14,25751.98,Pending
168,84092,1302,2021-04-24,27527.95,Rejected
169,49638,1304,2022-04-22,11301.11,Rejected
170,99181,1305,2019-03-07,46464.48,Approved
171,89400,1309,2020-01-19,43731.88,Rejected
172,52896,1311,2021-12-14,40409.02,Pending
173,42833,1314,2022-07-13,43410.62,Approved
174,53965,1315,2022-08-08,18805.98,Rejected
175,65645,1316,2019-04-28,30663.23,Pending
176,73437,1317,2021-04-25,49870.15,Pending
177,85982,1318,2019-04-03,46686.14,Rejected
178,50471,1319,2020-01-17,12163.61,Pending
179,88507,1321,2020-09-19,8814.01,Rejected
180,99429,1323,2020-05-09,3985.83,Rejected
181,73443,1328,2022-05-20,5235.16,Pending
182,30232,1334,2022-01-04,9485.56,Approved
183,81683,1335,2019-10-04,49043.77,Rejected
184,23967,1336,2020-10-19,49604.35,Approved
185,38672,1337,2021-07-21,46350.35,Approved
186,94114,1339,2019-12-17,33465.15,Approved
187,34532,1340,2022-04-05,34752.24,Approved
188,22455,1347,2021-03-02,26983.37,Approved
189,46343,1348,2018-12-06,29490.61,Approved
190,58108,1351,2022-06-10,21187.44,Approved
191,46854,1352,2019-01-15,29032.52,Rejected
192,22800,1356,2020-03-21,40271.28,Approved
193,21823,1358,2022-07-22,20774.48,Pending
194,25210,1359,2021-07-21,33083.86,Pending
195,74240,1360,2021-12-24,47862.44,Approved
196,44237,1361,2019-03-09,23849.48,Approved
197,43001,1363,2021-04-08,32354.93,Pending
198,35414,1366,2022-06-28,29550.02,Approved
199,94015,1368,2018-09-16,26852.96,Pending
200,84965,1370,2022-05-25,15314.16,Rejected
201,50618,1371,2021-03-05,47659.83,Rejected
202,59912,1372,2022-05-05,18477.51,Approved
203,75390,1373,2020-03-21,39996.45,Pending
204,86140,1374,2020-04-21,25571.82,Pending
205,26446,1377,2021-07-07,5646.75,Rejected
206,73139,1381,2020-11-11,11004.05,Approved
207,53039,1383,2020-10-26,3201.97,Pending
208,59683,1385,2019-09-29,35422.36,Approved
209,24627,1388,2020-05-20,47527.0,Pending
210,27653,1390,2020-04-24,17317.87,Rejected
211,25930,1393,2019-03-16,44286.1,Approved
212,81941,1394,2021-05-03,42872.69,Approved
213,46718,1395,2020-03-14,48897.1,Rejected
214,77063,1396,2019-07-08,36046.44,Approved
215,61733,1399,2021-03-05,13627.12,Pending
216,25235,1406,2020-01-31,28180.74,Rejected
217,79669,1407,2021-03-08,42648.38,Approved
218,42218,1408,2022-01-03,40070.28,Rejected
219,47217,1411,2020-07-03,6078.13,Approved
220,67496,1415,2022-03-11,19489.23,Approved
221,96901,1419,2022-07-30,2741.49,Pending
222,44041,1421,2018-09-25,22990.04,Approved
223,75492,1422,2021-09-01,49963.07,Approved
224,44098,1423,2021-01-30,10198.1,Approved
225,56833,1425,2021-05-03,47194.72,Approved
226,72695,1426,2020-02-28,13857.51,Approved
227,58750,1427,2018-12-10,48763.91,Pending
228,81459,1429,2022-08-01,46956.32,Rejected
229,61204,1431,2019-10-19,37164.76,Approved
230,55183,1432,2022-05-25,38574.61,Rejected
231,33926,1435,2021-06-21,40412.43,Approved
232,38243,1438,2020-01-17,9465.29,Pending
233,65503,1439,2022-04-01,26820.13,Approved
234,44774,1440,2022-06-06,24754.13,Pending
235,59701,1445,2022-02-26,3542.29,Pending
236,27702,1447,2019-12-19,30012.17,Rejected
237,31857,1453,2018-11-03,25912.39,Pending
238,74517,1457,2019-04-05,43506.46,Approved
239,43953,1458,2020-08-14,37423.37,Pending
240,35982,1460,2021-02-17,1158.23,Pending
241,21952,1462,2022-05-09,1918.91,Approved
242,70064,1463,2019-11-13,1856.4,Approved
243,61481,1466,2020-02-16,11675.17,Pending
244,59243,1467,2021-10-21,19909.68,Pending
245,73093,1468,2019-09-24,14757.8,Approved
246,74470,1471,2019-03-31,23067.06,Pending
247,64460,1472,2019-07-25,13485.96,Rejected
248,94175,1473,2018-10-15,12587.8,Pending
249,21646,1475,2020-04-16,49550.25,Rejected
250,67147,1476,2022-05-16,3884.95,Approved
251,29561,1479,2022-04-11,46055.31,Rejected
252,94977,1484,2021-08-08,22722.6,Pending
253,71943,1485,2019-08-21,22586.22,Approved
254,54423,1487,2022-06-11,17580.0,Rejected
255,23279,1488,2022-08-14,21431.91,Rejected
256,65888,1490,2021-11-03,49422.17,Rejected
257,72547,1491,2021-09-27,12247.73,Rejected
258,56469,1492,2022-06-10,13135.72,Rejected
259,93050,1493,2019-08-20,44829.33,Approved
260,45267,1498,2021-04-11,43744.03,Approved
261,71998,1501,2021-12-01,43415.92,Approved
262,70279,1502,2021-04-26,23887.38,Approved
263,68597,1503,2020-04-04,4008.04,Approved
264,38880,1504,2019-06-14,28778.97,Approved
265,33101,1508,2019-10-30,43687.65,Rejected
266,52905,1511,2019-06-22,14850.77,Rejected
267,32404,1514,2018-12-27,23303.39,Rejected
268,65382,1516,2021-05-21,6236.14,Pending
269,24012,1517,2019-11-15,38716.93,Pending
270,74138,1518,2020-04-09,32836.63,Rejected
271,49936,1519,2020-04-22,5864.15,Pending
272,43990,1521,2020-04-28,2817.43,Approved
273,96644,1523,2021-08-18,43465.43,Rejected
274,85518,1524,2019-03-25,22516.06,Rejected
275,70755,1525,2022-06-08,8321.61,Approved
276,69278,1527,2020-05-19,23084.59,Pending
277,88331,1528,2021-12-28,28383.86,Rejected
278,99680,1530,2020-08-11,14820.96,Approved
279,55782,1531,2019-02-12,39812.48,Approved
280,39001,1532,2020-09-18,1323.6,Approved
281,25792,1533,2021-05-07,44038.06,Approved
282,21648,1537,2019-12-14,48617.93,Pending
283,66005,1538,2021-05-08,45199.4,Pending
284,54652,1544,2022-01-08,20624.24,Pending
285,93683,1549,2021-12-28,43768.87,Approved
286,86789,1550,2019-03-30,29838.2,Pending
287,56756,1551,2021-07-20,28647.79,Rejected
288,22286,1552,2022-05-04,24781.84,Rejected
289,23178,1559,2021-09-13,29437.07,Pending
290,73545,1560,2021-10-14,23315.43,Approved
291,78521,1563,2019-05-08,33204.07,Pending
292,74267,1564,2020-06-12,43341.37,Pending
293,97063,1565,2019-07-19,25748.69,Rejected
294,62537,1567,2022-07-15,36214.01,Rejected
295,76188,1574,2021-12-18,45637.02,Approved
296,68395,1575,2020-11-19,12274.95,Pending
297,26628,1578,2020-10-25,27367.46,Rejected
298,33349,1579,2020-04-11,11654.93,Pending
299,84093,1582,2021-04-15,45646.01,Pending
300,51050,1583,2021-02-23,12047.75,Approved
301,44325,1584,2021-12-25,2741.37,Pending
302,57809,1585,2019-12-02,27497.7,Rejected
303,20745,1587,2020-03-01,47292.95,Pending
304,29421,1589,2020-07-31,40891.48,Pending
305,94724,1591,2021-07-01,1722.0,Approved
306,58576,1594,2020-11-14,33050.44,Rejected
307,92900,1596,2022-01-04,32690.05,Approved
308,79677,1601,2020-12-23,32680.25,Pending
309,45357,1602,2018-11-29,15057.24,Approved
310,85667,1604,2018-09-17,17070.67,Pending
311,28704,1605,2022-01-15,36578.12,Rejected
312,71937,1610,2020-11-05,12319.42,Pending
313,70042,1611,2020-04-28,12121.27,Pending
314,21765,1613,2020-12-25,21529.35,Pending
315,55172,1617,2020-10-02,28801.75,Rejected
316,37128,1619,2020-06-10,12767.88,Pending
317,87767,1620,2018-12-10,12110.04,Approved
318,48913,1621,2021-12-12,2327.9,Pending
319,26598,1624,2019-09-05,19453.86,Rejected
320,38640,1628,2019-10-08,45196.85,Approved
321,31887,1629,2021-08-29,11380.04,Approved
322,48480,1630,2022-03-20,4650.29,Pending
323,22563,1633,2020-07-08,34036.17,Approved
324,95182,1634,2019-01-08,7741.61,Rejected
325,32085,1636,2021-12-15,9646.08,Rejected
326,95685,1637,2022-03-09,5283.41,Approved
327,71881,1641,2022-05-16,47004.14,Approved
328,76619,1643,2021-09-15,3077.2,Pending
329,63062,1644,2019-09-15,40956.89,Rejected
330,87933,1645,2019-05-13,39082.0,Rejected
331,64084,1648,2020-01-20,14457.8,Pending
332,31606,1650,2020-04-28,33850.21,Pending
333,87959,1651,2019-01-16,33005.67,Approved
334,96798,1652,2020-07-23,44229.26,Approved
335,70991,1655,2019-09-03,7022.23,Rejected
336,84790,1657,2019-02-10,21995.21,Pending
337,91955,1664,2021-12-13,46177.99,Pending
338,77443,1665,2020-06-29,48533.92,Approved
339,59166,1668,2020-12-16,40282.38,Approved
340,22016,1669,2021-08-30,48987.72,Rejected
341,94205,1671,2021-11-01,1274.34,Pending
342,94168,1672,2020-05-29,19428.31,Approved
343,84327,1674,2020-07-06,9332.48,Approved
344,57324,1675,2021-11-15,25289.7,Approved
345,94234,1680,2019-04-03,49266.96,Rejected
346,31303,1682,2020-11-22,8532.45,Approved
347,85977,1684,2021-07-29,12735.32,Pending
348,57615,1686,2021-06-23,17155.64,Rejected
349,34338,1687,2021-10-21,35634.83,Rejected
350,40927,1691,2019-07-13,45070.86,Rejected
351,93350,1694,2021-05-06,37211.31,Rejected
352,79782,1697,2019-09-12,31885.98,Approved
353,43970,1698,2022-06-30,1014.3,Approved
354,21602,1699,2022-06-11,30625.14,Approved
355,33266,1702,2020-11-04,28036.11,Rejected
356,24739,1703,2019-03-21,22367.2,Pending
357,26919,1709,2019-08-19,11235.3,Pending
358,89618,1710,2019-09-12,33312.86,Pending
359,48632,1711,2021-02-27,43043.23,Approved
360,40050,1714,2022-06-22,29262.4,Pending
361,95786,1715,2020-02-21,7861.74,Approved
362,56550,1719,2019-11-08,20175.4,Rejected
363,72971,1720,2019-01-02,24020.75,Rejected
364,51490,1722,2019-11-25,31258.16,Rejected
365,24129,1725,2021-11-30,31092.38,Pending
366,76149,1728,2019-03-04,20313.9,Rejected
367,89511,1731,2020-05-25,35419.59,Approved
368,33515,1732,2020-09-07,2553.0,Approved
369,38452,1736,2020-02-29,35270.06,Rejected
370,33918,1739,2019-01-31,26079.27,Approved
371,49774,1740,2019-08-13,26623.8,Pending
372,81848,1742,2019-11-07,41451.43,Rejected
373,42125,1744,2021-06-14,17090.86,Rejected
374,99980,1745,2019-08-15,24296.75,Rejected
375,96295,1746,2020-07-18,19158.29,Pending
376,49779,1747,2019-11-07,35738.67,Pending
377,24131,1748,2019-09-23,38495.88,Pending
378,70384,1752,2018-12-20,13886.31,Approved
379,56522,1758,2021-04-15,20016.24,Rejected
380,51247,1760,2022-02-25,8990.13,Approved
381,95151,1762,2021-06-14,45604.74,Approved
382,89472,1763,2019-05-19,34548.5,Approved
383,24360,1764,2019-06-13,2852.11,Pending
384,23095,1765,2021-05-17,36956.18,Rejected
385,82780,1768,2019-03-14,49781.78,Approved
386,88725,1773,2019-08-29,8373.61,Rejected
387,78593,1776,2022-06-28,44182.16,Pending
388,65414,1777,2022-09-09,30002.25,Pending
389,87078,1781,2021-05-18,26224.98,Approved
390,30255,1783,2019-10-31,22310.2,Pending
391,52810,1785,2019-11-17,2278.43,Pending
392,67310,1787,2021-05-14,2063.92,Pending
393,46377,1789,2018-12-16,32324.49,Approved
394,35390,1790,2022-01-19,30556.99,Rejected
395,99023,1791,2021-07-19,44818.61,Pending
396,58448,1793,2020-10-31,48688.24,Rejected
397,77755,1794,2021-05-03,9007.1,Rejected
398,58602,1796,2021-03-31,12231.73,Approved
399,64126,1797,2020-09-14,29730.29,Pending
400,77178,1798,2020-11-18,8525.48,Pending
401,91844,1799,2022-07-17,19938.43,Rejected
402,73637,1800,2019-06-17,4528.27,Pending
403,82535,1801,2019-08-22,37220.21,Approved
404,29455,1802,2020-09-29,3914.22,Pending
405,62022,1805,2021-03-19,21338.46,Approved
406,94454,1810,2022-07-27,30542.27,Pending
407,57364,1811,2019-11-11,39482.35,Pending
408,50866,1813,2019-04-04,21719.35,Rejected
409,81523,1815,2022-01-28,5428.53,Pending
410,77902,1816,2019-06-02,23058.11,Rejected
411,74557,1817,2021-03-15,2692.87,Rejected
412,49465,1822,2019-05-16,47600.19,Approved
413,50809,1823,2020-12-29,13913.97,Approved
414,41051,1824,2021-05-20,27363.31,Rejected
415,77945,1825,2020-07-06,2673.98,Pending
416,54784,1828,2020-12-03,47035.82,Rejected
417,67136,1832,2019-03-04,6360.45,Rejected
418,87142,1836,2020-08-12,23146.6,Rejected
419,20310,1837,2019-10-12,15846.75,Pending
420,84256,1838,2019-11-08,41068.43,Pending
421,32535,1839,2018-09-10,21768.61,Rejected
422,37265,1842,2022-01-28,42298.71,Approved
423,21194,1843,2021-09-10,23802.38,Rejected
424,80392,1844,2018-12-08,44419.03,Pending
425,51062,1847,2019-02-24,46061.62,Approved
426,30818,1853,2020-10-11,42808.0,Pending
427,63910,1857,2022-07-27,23640.67,Pending
428,46819,1859,2020-02-01,43455.74,Approved
429,61060,1860,2021-09-23,44210.41,Pending
430,60783,1862,2020-07-21,35044.45,Pending
431,87555,1864,2019-12-20,38852.58,Approved
432,63042,1868,2020-03-11,13840.19,Pending
433,70342,1871,2020-12-25,15428.27,Pending
434,37586,1872,2021-06-25,10903.85,Pending
435,88303,1873,2021-04-08,4872.79,Pending
436,98010,1875,2022-07-03,44935.15,Pending
437,62302,1876,2019-09-24,19341.01,Approved
438,60172,1877,2020-10-01,24896.08,Pending
439,93196,1878,2022-05-10,46979.83,Rejected
440,33098,1879,2021-12-23,41434.54,Approved
441,70900,1880,2019-01-01,44330.61,Rejected
442,37864,1881,2021-04-15,27221.87,Approved
443,64831,1884,2020-06-05,42797.11,Rejected
444,21878,1885,2020-03-05,42162.85,Pending
445,26688,1886,2019-03-16,13929.62,Rejected
446,92688,1887,2021-03-21,15427.08,Approved
447,83697,1888,2020-05-16,31459.24,Approved
448,30899,1889,2021-10-20,19171.93,Approved
449,91002,1893,2019-01-18,21130.52,Rejected
450,34395,1898,2020-02-14,28077.2,Rejected
451,99773,1899,2022-05-06,43024.24,Rejected
452,58001,1900,2020-08-05,11954.42,Approved
453,23643,1901,2019-03-04,24794.5,Rejected
454,42174,1902,2022-07-06,12414.15,Rejected
455,35188,1903,2020-03-28,19605.72,Pending
456,96480,1904,2021-09-30,27716.65,Rejected
457,22950,1905,2020-07-07,49169.34,Pending
458,85845,1906,2022-01-17,41342.8,Rejected
459,94768,1907,2020-06-20,10138.15,Approved
460,50495,1908,2021-10-24,31514.67,Pending
461,98865,1913,2022-07-08,32637.27,Approved
462,27461,1914,2022-06-08,46613.12,Rejected
463,80031,1916,2019-05-02,49575.5,Rejected
464,92853,1918,2019-07-10,40977.75,Pending
465,30119,1920,2020-08-10,42489.17,Pending
466,60788,1922,2022-06-24,32536.12,Approved
467,47164,1923,2019-08-20,7345.7,Pending
468,55218,1924,2019-06-06,42124.07,Pending
469,57568,1926,2020-09-21,26417.2,Rejected
470,37335,1927,2022-02-13,1792.76,Pending
471,35455,1929,2020-06-20,22649.86,Pending
472,44008,1930,2019-08-01,12859.38,Approved
473,36841,1932,2020-07-18,13644.29,Rejected
474,31109,1933,2020-06-02,3487.76,Rejected
475,52285,1937,2021-02-21,41615.3,Pending
476,47135,1938,2020-06-27,26923.37,Approved
477,85803,1939,2020-11-14,28888.56,Pending
478,95011,1943,2020-04-03,2938.01,Approved
479,68322,1944,2021-10-22,45625.06,Pending
480,44297,1945,2020-03-15,32491.67,Rejected
481,39721,1947,2020-11-05,32107.13,Approved
482,94789,1948,2022-07-08,3313.57,Rejected
483,87510,1950,2019-02-20,2328.18,Rejected
484,98798,1952,2020-12-23,47235.05,Pending
485,26862,1953,2019-08-01,32966.56,Approved
486,86044,1954,2018-10-29,26725.1,Rejected
487,21046,1955,2020-08-13,23290.75,Approved
488,31078,1956,2021-06-12,49226.11,Approved
489,96629,1960,2020-06-23,15168.92,Rejected
490,38617,1962,2019-12-05,26033.11,Approved
491,40269,1963,2019-05-24,2337.58,Pending
492,30220,1965,2022-05-09,45353.28,Rejected
493,91469,1967,2021-07-10,24880.99,Rejected
494,49677,1969,2020-01-03,12702.77,Approved
495,83795,1972,2019-09-22,47679.97,Rejected
496,51609,1973,2019-05-05,7119.18,Pending
497,21890,1977,2019-06-15,34220.39,Rejected
498,37275,1979,2021-03-11,2178.72,Rejected
499,88440,1980,2019-08-19,48607.17,Pending
500,20264,1982,2020-10-14,22217.31,Rejected
501,78902,1988,2018-10-07,47214.45,Rejected
502,71313,1989,2021-12-27,12939.97,Rejected
503,22124,1991,2019-10-12,4826.1,Pending
504,48356,1994,2019-12-10,14633.07,Pending
505,61955,1995,2020-07-04,23262.86,Pending
506,74513,1996,2019-12-29,32526.29,Approved
507,21491,1999,2021-04-11,6461.64,Pending
508,69817,2000,2021-12-10,46755.0,Rejected
509,67201,2001,2020-01-17,27934.78,Rejected
510,57640,2002,2021-09-01,19496.32,Approved
511,91950,2007,2019-01-20,7730.29,Approved
512,80417,2008,2018-11-15,16617.1,Pending
513,93127,2011,2020-08-17,42248.67,Rejected
514,68453,2012,2020-04-11,5634.35,Pending
515,85568,2014,2021-11-11,22968.16,Rejected
516,59013,2016,2020-11-30,8077.03,Rejected
517,37850,2017,2019-02-26,10858.16,Pending
518,94766,2018,2020-06-28,24112.02,Rejected
519,55419,2020,2021-04-20,48241.37,Approved
520,95592,2021,2021-01-25,11510.59,Pending
521,89322,2022,2020-04-12,3074.33,Approved
522,84519,2023,2019-01-28,2753.62,Approved
523,54502,2024,2020-08-25,47836.07,Pending
524,67170,2025,2021-03-28,43640.06,Approved
525,22200,2027,2019-11-22,31765.66,Approved
526,52490,2031,2022-03-04,41733.2,Approved
527,45344,2032,2022-01-11,29441.51,Pending
528,21911,2034,2019-05-12,1077.98,Pending
529,91908,2035,2018-09-23,25480.43,Rejected
530,55285,2039,2019-10-20,5716.3,Rejected
531,85431,2044,2018-11-17,36376.0,Rejected
532,71860,2046,2019-01-07,5681.82,Approved
533,26040,2048,2019-08-20,19029.21,Rejected
534,21856,2049,2021-09-29,46611.06,Rejected
535,67987,2050,2019-09-19,4460.7,Approved
536,25077,2051,2019-07-20,4910.24,Rejected
537,29641,2054,2020-09-08,31709.26,Rejected
538,36026,2055,2020-05-06,14104.6,Pending
539,96213,2057,2020-02-20,45125.48,Rejected
540,43071,2058,2020-05-17,30191.37,Approved
541,77068,2059,2022-01-09,48151.02,Pending
542,36812,2062,2021-02-11,5131.52,Pending
543,42476,2064,2020-02-09,34313.32,Approved
544,43702,2066,2018-11-17,6282.59,Pending
545,43109,2074,2019-10-08,28678.75,Rejected
546,67990,2076,2018-10-06,15036.6,Approved
547,50857,2077,2019-09-20,31962.14,Pending
548,39562,2079,2019-11-01,8654.01,Approved
549,37770,2082,2022-03-24,32677.74,Rejected
550,95570,2084,2021-12-03,32954.15,Pending
551,41411,2086,2021-05-12,8848.44,Approved
552,92758,2088,2021-03-30,13606.66,Approved
553,71252,2090,2020-07-24,47210.41,Approved
554,36998,2092,2021-02-03,41430.35,Rejected
555,26354,2095,2021-04-25,26769.9,Approved
556,62543,2099,2020-12-25,1368.83,Approved
557,34926,2105,2022-08-13,11543.09,Rejected
558,96872,2111,2018-09-21,41722.02,Rejected
559,73393,2112,2019-03-12,2193.81,Rejected
560,76781,2114,2020-05-22,41005.14,Approved
561,92125,2115,2022-04-23,42156.79,Rejected
562,57178,2117,2020-07-05,4415.65,Rejected
563,93978,2121,2021-12-08,17313.21,Pending
564,77799,2122,2020-02-10,39357.06,Approved
565,85530,2124,2020-07-10,49297.19,Pending
566,28242,2126,2021-04-14,30687.94,Pending
567,62142,2127,2019-11-20,31694.79,Pending
568,68246,2128,2020-10-25,5375.54,Pending
569,95977,2129,2020-01-28,48851.2,Pending
570,96321,2131,2021-03-29,9913.87,Rejected
571,80708,2134,2020-11-05,19480.26,Rejected
