,CreditBureauID,CustomerID,ReportDate,CreditScore,OutstandingDebt,MaxCreditLimit,DerogatoryMarks
48,8237,1048,2023-08-26,792,11920.03,25347.02,"Collection, Bankruptcy, Foreclosure"
49,5170,1049,2021-07-24,324,31945.72,6075.54,"Bankruptcy, Late Payment, Collection, Foreclosure"
50,7526,1050,2020-09-06,378,46602.9,32017.98,"Bankruptcy, Collection"
51,6859,1051,2022-04-02,826,8602.54,32174.63,
52,6022,1052,2019-07-13,611,46781.69,28929.75,"Collection, Late Payment, Bankruptcy"
53,6622,1053,2021-01-02,417,24420.03,7730.05,"Foreclosure, Late Payment"
54,9297,1054,2022-11-27,772,14572.92,36734.19,"Late Payment, Bankruptcy, Collection"
55,6654,1055,2020-02-28,457,12082.18,32112.13,"Foreclosure, Collection"
56,5818,1056,2018-10-14,770,36083.99,9655.06,"Late Payment, Foreclosure"
57,7314,1057,2018-11-13,758,5144.5,49118.63,
58,7834,1058,2020-11-18,377,35918.68,37104.65,"Late Payment, Bankruptcy"
59,5093,1059,2022-09-18,784,43501.79,43459.47,
60,7616,1060,2021-04-19,669,3418.29,15842.51,
61,4254,1061,2019-04-12,841,12807.29,29058.66,"Late Payment, Foreclosure, Collection, Bankruptcy"
62,5851,1062,2021-08-30,839,26157.47,47233.52,
63,3307,1063,2022-10-26,553,45324.71,17246.77,"Foreclosure, Collection"
64,9251,1064,2019-05-24,538,19337.57,32102.77,
65,4188,1065,2022-02-19,544,29303.34,46358.12,"Late Payment, Collection, Foreclosure, Bankruptcy"
66,7558,1066,2020-10-04,561,1607.77,19414.56,"Bankruptcy, Late Payment"
67,3577,1067,2019-10-20,644,42560.53,25911.74,"Bankruptcy, Late Payment, Foreclosure"
68,3460,1068,2021-02-03,490,11090.39,46977.04,
69,3205,1069,2021-04-11,470,21383.87,36282.06,"Collection, Bankruptcy, Late Payment"
70,9621,1070,2020-12-15,736,42174.29,38902.78,"Collection, Bankruptcy, Foreclosure, Late Payment"
71,8437,1071,2022-09-01,809,44633.38,6658.72,
72,6264,1072,2022-11-11,381,44953.75,36605.42,
73,8336,1073,2020-08-05,461,39383.46,29389.24,"Bankruptcy, Collection, Late Payment, Foreclosure"
74,7878,1074,2019-01-23,738,34665.72,40189.91,"Collection, Bankruptcy, Foreclosure, Late Payment"
75,7254,1075,2021-09-17,359,22369.35,11496.19,"Bankruptcy, Foreclosure, Collection"
76,8161,1076,2020-03-26,615,3214.95,30243.71,"Bankruptcy, Collection, Foreclosure"
77,9070,1077,2022-01-09,767,983.8,31637.7,"Late Payment, Foreclosure, Bankruptcy, Collection"
78,7838,1078,2021-10-24,301,45227.35,26824.23,"Late Payment, Bankruptcy, Collection, Foreclosure"
79,9371,1079,2019-12-01,654,20043.82,39736.93,Bankruptcy
80,8350,1080,2018-12-10,745,6909.08,12858.04,Late Payment
81,9442,1081,2022-04-24,836,44029.51,37429.44,Foreclosure
82,8323,1082,2019-08-21,821,32616.72,49861.69,
83,4943,1083,2021-01-21,392,24369.07,29511.79,"Bankruptcy, Collection"
84,5172,1084,2021-04-24,843,3516.55,47232.16,"Bankruptcy, Late Payment"
85,6622,1085,2020-08-23,500,5115.01,35021.57,"Late Payment, Foreclosure, Collection, Bankruptcy"
86,3624,1086,2021-06-14,387,38614.29,31199.09,Foreclosure
87,4401,1087,2020-09-14,597,49167.77,36432.68,"Foreclosure, Late Payment"
88,4723,1088,2020-11-22,776,25544.23,24837.39,
89,4440,1089,2022-05-17,580,24821.42,21490.26,"Collection, Bankruptcy, Foreclosure, Late Payment"
90,3011,1090,2022-07-02,782,21602.69,15576.76,
91,7106,1091,2023-05-08,598,5526.11,21637.67,Foreclosure
92,8053,1092,2018-10-15,366,20075.49,44310.83,"Bankruptcy, Late Payment"
93,6890,1093,2019-12-14,318,46984.9,17709.21,"Late Payment, Bankruptcy"
94,9538,1094,2022-01-24,656,2007.29,5473.49,Collection
95,3454,1095,2020-07-01,709,40723.28,43537.9,
96,8303,1096,2019-05-25,803,32048.99,20983.47,"Foreclosure, Late Payment"
97,8801,1097,2020-01-06,424,9089.94,31481.62,"Late Payment, Bankruptcy"
98,6168,1098,2022-06-29,835,45045.53,41386.06,Late Payment
99,3115,1099,2022-05-18,525,25162.94,18231.0,Bankruptcy
100,4575,1100,2022-02-03,476,36405.9,10528.33,"Bankruptcy, Foreclosure"
101,5709,1101,2022-03-08,419,4515.41,32094.51,Collection
102,9531,1102,2020-05-02,677,36467.05,18193.3,"Foreclosure, Late Payment, Bankruptcy"
103,3221,1103,2021-04-19,424,24287.91,28254.05,"Collection, Bankruptcy"
104,8318,1104,2022-10-04,378,24601.28,44790.61,"Collection, Bankruptcy, Foreclosure"
105,5890,1105,2023-08-06,537,2743.05,41282.44,Foreclosure
106,8549,1106,2023-04-27,709,43349.84,21067.3,
107,4660,1107,2018-12-31,332,8515.62,49815.74,"Foreclosure, Collection, Late Payment, Bankruptcy"
108,4423,1108,2020-12-27,542,34125.81,35400.82,
109,5415,1109,2020-09-02,461,45657.45,8158.48,"Foreclosure, Collection, Late Payment, Bankruptcy"
110,9246,1110,2019-06-29,373,15089.45,41051.75,"Collection, Late Payment, Bankruptcy"
111,6049,1111,2021-05-29,416,15012.01,46103.51,"Foreclosure, Late Payment"
112,9003,1112,2020-09-20,494,41757.38,29112.97,"Late Payment, Bankruptcy, Foreclosure, Collection"
113,4474,1113,2023-08-15,389,36105.21,42106.64,"Late Payment, Foreclosure, Bankruptcy"
114,5857,1114,2021-03-14,489,27307.29,45769.43,"Late Payment, Bankruptcy, Foreclosure"
115,3407,1115,2021-06-25,724,34116.18,37023.99,Late Payment
116,5321,1116,2020-12-05,652,26934.57,43874.12,"Collection, Foreclosure, Bankruptcy"
117,9685,1117,2020-06-23,397,13719.85,42911.02,"Foreclosure, Late Payment, Collection, Bankruptcy"
118,4575,1118,2020-06-16,426,7494.25,29428.78,"Bankruptcy, Late Payment"
119,9844,1119,2021-11-17,518,17720.87,36035.44,
120,4532,1120,2023-03-22,400,17660.4,19864.41,"Collection, Late Payment, Bankruptcy"
121,8827,1121,2021-02-03,348,1563.65,44624.15,"Foreclosure, Bankruptcy"
122,3303,1122,2019-03-14,750,35815.93,46782.44,"Late Payment, Bankruptcy, Foreclosure"
123,9259,1123,2023-03-23,832,36137.14,27532.84,"Collection, Foreclosure"
124,3605,1124,2018-10-26,301,27387.28,34327.75,"Foreclosure, Late Payment"
125,7792,1125,2023-02-27,694,8391.25,9633.45,
126,9607,1126,2021-01-05,536,8791.7,13323.73,"Collection, Foreclosure"
127,4253,1127,2020-06-14,593,36527.84,8824.26,"Foreclosure, Bankruptcy, Collection"
128,9293,1128,2023-06-05,395,31343.98,31849.01,"Collection, Bankruptcy"
129,7183,1129,2023-01-12,343,9627.38,40846.61,
130,5310,1130,2019-07-23,354,44536.05,47681.1,"Collection, Late Payment, Bankruptcy"
131,3634,1131,2020-03-24,527,43648.83,40511.93,"Collection, Bankruptcy"
132,9938,1132,2022-09-03,594,17785.98,27675.14,Collection
133,6946,1133,2023-01-24,617,13642.04,12614.78,"Late Payment, Bankruptcy, Foreclosure"
134,3327,1134,2019-01-31,399,32085.47,47627.66,"Foreclosure, Collection, Late Payment"
135,3080,1135,2023-06-21,813,9925.12,14086.68,Foreclosure
136,4311,1136,2021-07-24,691,9191.7,17373.04,"Bankruptcy, Collection"
137,7438,1137,2021-12-21,769,32557.94,5734.71,"Late Payment, Collection, Bankruptcy, Foreclosure"
138,9153,1138,2021-03-13,387,1992.23,39541.17,"Late Payment, Foreclosure, Bankruptcy, Collection"
139,9791,1139,2022-07-06,572,39677.15,25166.89,Bankruptcy
140,6407,1140,2019-05-11,570,47728.26,23035.45,
141,5876,1141,2021-05-21,657,27957.58,17031.7,Collection
142,3979,1142,2020-03-18,593,31089.26,21540.46,"Late Payment, Foreclosure, Bankruptcy"
143,4568,1143,2021-01-12,725,24735.05,26410.84,Late Payment
144,7037,1144,2018-11-28,795,1006.22,21582.61,"Foreclosure, Bankruptcy, Late Payment"
145,9760,1145,2022-11-25,496,30686.19,46113.77,"Foreclosure, Collection, Bankruptcy"
146,3241,1146,2022-07-17,731,7748.67,32229.74,
147,3518,1147,2022-11-19,359,26723.99,38330.56,"Collection, Late Payment"
148,7962,1148,2022-03-15,504,243.76,15350.59,"Bankruptcy, Collection"
149,7476,1149,2020-07-09,544,23944.82,49540.54,"Bankruptcy, Foreclosure"
150,5139,1150,2022-08-04,517,15856.36,32128.33,"Bankruptcy, Foreclosure, Collection"
151,9531,1151,2021-07-05,476,15003.04,5881.33,Foreclosure
152,6545,1152,2019-02-23,765,29593.56,18420.97,"Foreclosure, Collection"
153,5219,1153,2021-05-22,766,2740.49,20557.53,"Collection, Late Payment, Bankruptcy"
154,9867,1154,2021-01-03,693,48326.19,16204.66,
155,8386,1155,2021-03-04,711,45029.44,5182.93,Late Payment
156,8886,1156,2019-09-15,488,26675.96,42080.82,Collection
157,6942,1157,2023-03-11,640,1436.1,45655.58,"Bankruptcy, Collection"
158,7346,1158,2021-06-18,556,33855.61,10618.85,
159,8522,1159,2020-08-08,341,3756.35,41176.86,Foreclosure
160,8135,1160,2020-07-06,431,31146.75,39285.75,"Bankruptcy, Foreclosure, Late Payment"
161,9550,1161,2019-01-01,614,23915.52,29564.12,"Late Payment, Foreclosure"
162,4204,1162,2022-08-18,328,20984.45,37499.05,"Foreclosure, Bankruptcy"
163,6655,1163,2022-02-23,692,13356.22,39879.02,"Bankruptcy, Foreclosure"
164,6275,1164,2021-03-06,353,31116.65,37264.25,"Late Payment, Bankruptcy, Collection, Foreclosure"
165,6697,1165,2022-03-23,362,11762.98,24496.28,Foreclosure
166,6749,1166,2021-05-15,525,15364.3,32878.44,
167,4903,1167,2019-06-28,620,7270.82,9961.0,Bankruptcy
168,7615,1168,2022-10-05,351,48327.82,38584.33,"Foreclosure, Late Payment, Collection"
169,3745,1169,2020-11-15,558,26513.84,6755.01,"Bankruptcy, Collection"
170,6000,1170,2020-11-15,776,2290.71,42594.79,"Bankruptcy, Collection"
171,8109,1171,2020-03-26,302,18681.63,35120.56,"Bankruptcy, Collection, Foreclosure, Late Payment"
172,7079,1172,2021-07-16,627,17819.16,27270.42,"Foreclosure, Collection"
173,8840,1173,2022-01-15,845,23494.53,43225.08,
174,8790,1174,2021-06-11,606,12973.62,36332.53,"Late Payment, Collection, Bankruptcy, Foreclosure"
175,8194,1175,2023-08-05,544,31248.63,12579.05,Late Payment
176,6304,1176,2018-10-27,543,43277.53,10477.66,"Bankruptcy, Collection"
177,8913,1177,2022-06-14,349,41308.42,15991.74,
178,5196,1178,2021-08-06,335,29006.51,45290.6,"Bankruptcy, Collection, Foreclosure"
179,3189,1179,2019-10-23,550,29490.78,13671.82,Bankruptcy
180,3915,1180,2022-09-16,525,12503.35,19608.48,Collection
181,6221,1181,2020-06-26,580,39866.27,29748.64,"Collection, Late Payment, Foreclosure"
182,7476,1182,2019-08-22,491,39210.78,20334.32,"Bankruptcy, Collection, Late Payment, Foreclosure"
183,5325,1183,2018-09-17,336,19605.03,17982.05,"Foreclosure, Late Payment, Collection, Bankruptcy"
184,6400,1184,2021-01-21,600,24539.76,31679.75,"Late Payment, Foreclosure, Collection, Bankruptcy"
185,8566,1185,2019-08-19,637,36905.27,18407.88,"Bankruptcy, Late Payment, Foreclosure"
186,7674,1186,2021-02-13,779,40541.02,7197.21,"Foreclosure, Bankruptcy, Collection, Late Payment"
187,7718,1187,2019-11-19,564,43952.87,40024.45,
188,5974,1188,2021-09-08,597,21990.72,39631.43,"Foreclosure, Bankruptcy"
189,6561,1189,2023-03-25,731,5489.47,6087.22,"Collection, Late Payment, Foreclosure"
190,8773,1190,2020-07-11,343,31407.24,45700.91,
191,3138,1191,2018-11-27,389,40550.03,28391.64,"Foreclosure, Collection, Late Payment, Bankruptcy"
192,3046,1192,2023-08-12,738,5062.93,20611.8,"Foreclosure, Collection, Bankruptcy"
193,6184,1193,2019-12-29,692,47130.54,24400.14,"Collection, Late Payment"
194,6600,1194,2022-07-15,464,2415.89,9686.36,"Foreclosure, Late Payment, Collection"
195,5707,1195,2021-05-28,723,34343.28,47337.56,"Bankruptcy, Late Payment, Collection"
196,8731,1196,2019-07-27,811,18193.06,7385.2,"Bankruptcy, Foreclosure, Late Payment, Collection"
197,3935,1197,2022-04-10,778,29415.92,14203.3,Collection
198,7900,1198,2021-08-14,823,18778.27,28452.78,"Foreclosure, Bankruptcy"
199,6621,1199,2021-07-14,655,40300.59,42025.87,Collection
200,3296,1200,2018-11-23,513,38224.78,7045.66,
201,3847,1201,2022-01-18,303,43199.63,29492.26,"Collection, Bankruptcy"
202,6592,1202,2023-03-21,712,6707.76,35578.36,"Collection, Late Payment"
203,4451,1203,2021-01-13,674,9377.01,37105.24,"Foreclosure, Late Payment"
204,7010,1204,2019-03-22,609,25461.16,49865.48,
205,6983,1205,2022-01-07,471,43302.42,19333.67,
206,4366,1206,2021-11-10,491,47050.81,40804.19,"Collection, Foreclosure, Late Payment"
207,4698,1207,2021-05-30,580,9261.77,10652.18,Late Payment
208,7109,1208,2018-12-04,641,19086.56,40943.0,"Late Payment, Bankruptcy, Collection, Foreclosure"
209,3985,1209,2022-11-16,707,16283.39,28195.51,
210,9453,1210,2019-12-11,474,35378.48,38847.64,"Late Payment, Bankruptcy, Collection, Foreclosure"
211,4545,1211,2019-05-02,355,18274.42,45924.25,"Collection, Late Payment, Foreclosure"
212,3593,1212,2022-01-06,724,7752.14,38713.12,"Foreclosure, Bankruptcy, Collection, Late Payment"
213,4773,1213,2018-10-10,638,44030.94,17947.99,
214,7163,1214,2022-09-20,786,671.54,29090.07,"Collection, Late Payment, Foreclosure, Bankruptcy"
215,8916,1215,2021-02-24,457,29495.97,25948.67,"Bankruptcy, Late Payment, Collection, Foreclosure"
216,6122,1216,2023-05-09,620,44395.26,45423.65,
217,6314,1217,2020-10-07,465,26296.56,27532.63,"Late Payment, Foreclosure, Bankruptcy"
218,4697,1218,2019-02-05,490,15332.65,38907.3,
219,3424,1219,2020-12-01,810,48005.94,9740.09,"Foreclosure, Late Payment, Collection, Bankruptcy"
220,3990,1220,2019-06-22,808,3935.69,16259.51,Collection
221,9625,1221,2021-03-27,324,5307.46,21474.95,Late Payment
222,8627,1222,2021-07-10,710,169.31,45942.46,Collection
223,3124,1223,2023-06-01,451,11637.23,33590.25,Bankruptcy
224,5395,1224,2022-10-19,666,43949.78,5370.24,Late Payment
225,8632,1225,2021-04-20,406,3032.74,20328.59,"Late Payment, Bankruptcy, Foreclosure"
226,8604,1226,2019-10-20,658,45740.21,45952.01,Collection
227,9526,1227,2019-05-03,832,37165.21,18158.36,"Bankruptcy, Foreclosure"
228,4481,1228,2022-11-14,814,43351.08,8790.62,"Bankruptcy, Foreclosure"
229,3028,1229,2019-11-30,324,5980.44,20400.95,Foreclosure
230,7805,1230,2019-07-08,684,2692.08,45225.21,"Bankruptcy, Collection, Late Payment"
231,9909,1231,2020-08-18,363,5261.88,29745.34,"Collection, Late Payment"
232,3939,1232,2019-12-30,586,34554.78,29876.29,Late Payment
233,3253,1233,2018-12-23,695,40455.76,36547.48,
234,9916,1234,2021-06-10,813,3617.23,30572.2,"Bankruptcy, Foreclosure, Late Payment"
235,5827,1235,2019-04-21,321,2779.31,23475.32,"Late Payment, Collection, Foreclosure, Bankruptcy"
236,5469,1236,2021-06-25,492,12082.48,29039.32,"Late Payment, Bankruptcy"
237,6492,1237,2022-01-27,334,5291.69,41077.51,"Late Payment, Bankruptcy, Foreclosure"
238,5021,1238,2020-06-08,346,45428.47,49895.09,"Bankruptcy, Late Payment, Foreclosure"
239,6632,1239,2019-04-20,618,24681.57,36773.55,Bankruptcy
240,4406,1240,2023-02-26,401,9497.28,49241.66,"Collection, Bankruptcy"
241,8965,1241,2023-02-25,497,53.37,13453.11,"Late Payment, Foreclosure, Bankruptcy"
242,7746,1242,2019-06-26,429,7438.63,44628.51,
243,3107,1243,2022-01-08,663,13166.64,34932.95,"Collection, Bankruptcy"
244,3824,1244,2021-06-14,699,30405.12,48787.65,Foreclosure
245,9469,1245,2020-05-18,522,25252.52,49505.51,"Collection, Foreclosure"
246,5757,1246,2021-03-02,680,39579.73,36851.38,
247,9724,1247,2022-11-12,543,35821.84,9147.67,"Late Payment, Foreclosure, Bankruptcy, Collection"
248,8763,1248,2021-08-27,539,18901.94,39659.88,Bankruptcy
249,5992,1249,2023-05-20,438,45236.72,27154.68,"Foreclosure, Late Payment, Bankruptcy"
250,4835,1250,2022-08-11,702,49957.73,10342.18,"Bankruptcy, Collection, Late Payment"
251,3468,1251,2021-08-29,559,13614.98,23667.29,Late Payment
252,7345,1252,2022-03-04,819,4909.81,48951.54,"Bankruptcy, Foreclosure"
253,3283,1253,2020-04-26,713,20274.3,14226.57,"Collection, Bankruptcy"
254,4543,1254,2022-11-09,309,18597.43,48021.52,
255,7834,1255,2019-03-24,300,2543.11,26283.98,"Bankruptcy, Collection"
256,8051,1256,2020-06-20,367,45250.83,27778.42,
257,5761,1257,2019-02-04,418,39695.28,40836.18,"Late Payment, Collection, Bankruptcy, Foreclosure"
258,9845,1258,2022-08-18,334,14023.91,25782.66,"Late Payment, Collection, Bankruptcy, Foreclosure"
259,8415,1259,2022-08-22,560,6995.58,6826.26,"Collection, Late Payment"
260,4939,1260,2018-11-01,690,41374.83,5807.37,
261,3994,1261,2021-05-11,467,44541.47,47051.96,
262,9069,1262,2019-12-17,791,22787.38,45723.65,"Late Payment, Foreclosure, Collection, Bankruptcy"
263,5710,1263,2022-03-19,777,39485.37,35530.61,"Bankruptcy, Foreclosure, Collection"
264,5352,1264,2022-02-28,843,8750.4,26829.3,Late Payment
265,6203,1265,2022-04-22,775,23522.32,25538.85,Bankruptcy
266,7917,1266,2019-10-11,709,5029.62,8445.01,"Collection, Bankruptcy"
267,8328,1267,2020-06-21,601,36275.91,32297.24,"Late Payment, Foreclosure, Collection, Bankruptcy"
268,4409,1268,2022-04-06,525,41120.82,44001.96,"Foreclosure, Collection, Bankruptcy"
269,6736,1269,2019-01-31,827,10738.25,24102.47,"Bankruptcy, Foreclosure, Late Payment"
270,8141,1270,2021-10-02,566,34313.69,47859.01,"Collection, Bankruptcy, Foreclosure, Late Payment"
271,7108,1271,2021-12-09,664,19498.55,13074.47,"Bankruptcy, Late Payment, Foreclosure"
272,6632,1272,2020-10-25,626,561.55,30663.02,"Bankruptcy, Late Payment, Foreclosure"
273,6546,1273,2020-02-28,314,12561.06,47479.19,"Foreclosure, Bankruptcy, Late Payment, Collection"
274,5171,1274,2023-03-25,303,42216.0,28833.04,"Collection, Bankruptcy"
275,4476,1275,2019-12-24,472,21376.15,13882.68,Late Payment
276,3045,1276,2019-03-14,715,26111.12,20640.01,Bankruptcy
277,8097,1277,2021-10-17,512,13858.44,22789.98,"Bankruptcy, Collection, Late Payment"
278,3808,1278,2023-04-23,498,31984.24,11956.34,"Late Payment, Bankruptcy, Foreclosure, Collection"
279,5505,1279,2019-07-27,339,20183.75,38545.92,"Bankruptcy, Late Payment"
280,3836,1280,2022-07-22,801,2380.94,18004.91,Foreclosure
281,3292,1281,2021-11-19,479,4911.49,38010.7,
282,6175,1282,2021-07-05,800,2592.29,13723.84,
283,8081,1283,2019-08-29,833,41851.57,37008.14,
284,5164,1284,2019-04-25,550,7873.26,28071.38,"Late Payment, Bankruptcy, Collection, Foreclosure"
285,8967,1285,2021-10-01,699,37603.85,48595.34,
286,7432,1286,2023-09-09,584,9194.2,9003.84,"Collection, Foreclosure"
287,4615,1287,2020-07-18,422,49790.61,35381.44,Bankruptcy
288,6271,1288,2022-10-03,796,8849.39,37943.31,Foreclosure
289,7073,1289,2022-02-05,666,9311.92,40673.08,"Foreclosure, Late Payment, Collection"
290,9387,1290,2022-02-27,405,25115.63,49484.62,Foreclosure
291,5346,1291,2018-09-28,820,39413.06,31523.92,
292,9346,1292,2019-05-28,707,1681.85,36502.99,"Bankruptcy, Collection, Late Payment, Foreclosure"
293,7061,1293,2020-04-20,646,36815.54,18900.94,"Foreclosure, Late Payment, Collection, Bankruptcy"
294,4816,1294,2022-04-03,818,19510.07,5145.86,
295,6340,1295,2021-06-08,305,39752.87,27869.5,Collection
296,4354,1296,2021-03-11,680,18703.42,21964.92,"Foreclosure, Late Payment"
297,4937,1297,2019-02-08,731,13209.15,25417.7,"Foreclosure, Bankruptcy, Collection, Late Payment"
298,4057,1298,2020-11-04,422,16192.84,32954.86,
299,8595,1299,2021-04-23,421,44389.19,15732.66,"Late Payment, Collection, Bankruptcy, Foreclosure"
300,3144,1300,2020-12-31,319,18939.6,11363.29,"Bankruptcy, Foreclosure, Collection, Late Payment"
301,4628,1301,2020-05-05,426,14709.31,40978.38,Foreclosure
302,3967,1302,2019-02-28,485,9800.4,46937.25,
303,5629,1303,2019-10-19,565,29454.91,42057.49,
304,9559,1304,2021-09-17,437,5315.09,38428.17,"Collection, Bankruptcy, Foreclosure, Late Payment"
305,7064,1305,2023-04-30,456,6920.6,27748.59,"Bankruptcy, Late Payment, Foreclosure"
306,3595,1306,2019-10-14,360,37796.42,23173.5,"Bankruptcy, Collection"
307,8607,1307,2019-07-05,583,47013.12,28720.13,"Bankruptcy, Collection, Foreclosure, Late Payment"
308,8522,1308,2022-07-09,781,24379.43,12144.38,"Collection, Bankruptcy, Late Payment"
309,4106,1309,2019-07-03,496,36111.92,15308.59,
310,4354,1310,2019-10-18,473,21685.21,45209.0,"Late Payment, Bankruptcy, Collection"
311,9850,1311,2020-01-24,480,26300.47,41428.67,
312,8692,1312,2020-12-01,454,35744.7,42120.73,Collection
313,7354,1313,2020-07-03,439,40570.99,18775.8,"Late Payment, Collection, Foreclosure, Bankruptcy"
314,9164,1314,2018-12-03,665,17820.76,9064.84,"Bankruptcy, Collection"
315,8057,1315,2019-05-31,707,32255.93,47241.94,"Late Payment, Bankruptcy"
316,8636,1316,2020-08-03,571,30540.49,18348.35,
317,9806,1317,2019-12-26,751,32395.8,5870.1,
318,8447,1318,2021-07-13,363,35731.18,12631.08,"Collection, Foreclosure, Bankruptcy"
319,6290,1319,2019-05-14,401,33823.3,48043.35,Bankruptcy
320,8784,1320,2019-01-06,398,27139.12,15220.45,Foreclosure
321,6880,1321,2020-03-10,617,43782.37,39488.36,
322,7386,1322,2020-08-05,651,48716.99,8117.32,"Late Payment, Bankruptcy, Foreclosure, Collection"
323,5086,1323,2023-02-14,764,35156.61,47797.73,"Bankruptcy, Foreclosure"
324,8334,1324,2021-01-02,702,31430.09,8211.61,Late Payment
325,5717,1325,2020-01-30,658,6270.16,24590.28,"Collection, Late Payment, Bankruptcy"
326,6677,1326,2022-01-25,446,49747.23,13584.18,"Foreclosure, Collection, Late Payment"
327,5410,1327,2023-01-13,396,30630.63,44996.86,Late Payment
328,9347,1328,2019-10-16,610,11103.28,23410.93,"Foreclosure, Bankruptcy, Late Payment, Collection"
329,6587,1329,2020-11-01,471,24607.28,30684.62,
330,7857,1330,2019-04-20,660,34172.12,39081.99,
331,8994,1331,2022-09-29,475,38201.91,22300.45,
332,4413,1332,2021-10-12,322,45538.83,47724.87,"Late Payment, Bankruptcy, Collection, Foreclosure"
333,3820,1333,2018-09-27,306,18850.74,12783.55,"Bankruptcy, Collection, Foreclosure, Late Payment"
334,3506,1334,2019-04-07,433,37063.07,24999.56,
335,5565,1335,2020-11-13,705,16668.98,10903.41,"Bankruptcy, Foreclosure"
336,5784,1336,2022-07-14,517,49365.13,26368.38,"Foreclosure, Late Payment, Bankruptcy"
337,8656,1337,2023-05-04,356,41083.23,36786.67,"Foreclosure, Bankruptcy, Collection"
338,6055,1338,2018-10-13,736,48324.98,8023.31,"Collection, Late Payment, Bankruptcy"
339,5159,1339,2018-10-24,364,19843.7,26923.24,"Foreclosure, Bankruptcy, Collection, Late Payment"
